INGREDIENTE;PRECIO;UNIDAD;CANTIDAD;;
ACEITE;600;CC;900;;
ACELGA;;200;1;;
AGUILA;4650;GR;1000;;
AJI ROJO;500;GR;1000;;
AJI VERDE;400;GR;1000;;
AJO;200;UNIDAD;1;;
ALBAHACA;300;UNIDAD;1;;
ALMENDRAS;1000;GR;100;;
ALMIBAR;800;GR;1000;;
ALPINO;3100;GR;1000;;
ANIZ ESTRELLADO;600;GR;100;;
ARANDANOS;250;GR;140;;
AVELLANAS;1200;GR;100;;
AVENA;1600;GR;1000;;
AZAHAR FLEIBOR;350;CC;30;;
AZUCAR;850;GR;1000;;
AZUCAR IMPALPABLE;2200;GR;1000;;
AZUCAR NEGRA;1250;GR;500;;
AZUCAR RUBIA;800;GR;500;;
BAGUETTE;300;UNIDAD;1;;
BALLINA;2350;GR;1000;;
BALLINA COLOR;1360;GR;500;;
BANANAS;1500;GR;1000;;
BANDEJA TELGOPOR 20X2;90;UNIDAD;1;;
BANDEJA TELGOPOR 24X2;105;UNIDAD;1;;
BANDEJA TELGOPOR 30X2;100;UNIDAD;1;;
BASE 10 CM;30;UNIDAD;1;;
BASE 12 CM;85;UNIDAD;1;;
BASE 16 CM;25;UNIDAD;1;;
BASE 12X12;32;UNIDAD;1;;
BASE 16X16;63;UNIDAD;1;;
BASE 20X20;110;UNIDAD;1;;
BAILYS;7000;CC;750;;
BICARBONATO DE SODIO;72;GR;50;;
BLONDA 13 CM;25;UNIDAD;1;;
BOCONCHINO;440;GR;100;;
BON O BON;580;gr;290;;
BROCHETTE 30 CM;5;UNIDAD;1;;
BROCHETTE 15 CM;3;UNIDAD;1;;
BROCHETTE 20 CM;4;UNIDAD;1;;
BROCHETTE 25 CM;4;UNIDAD;1;;
BROWNIE;4258,8;RECETA X 3;1;;
CACAO POLVO;1500;GR;180;;
CAFE;2550;GR;170;;
CALDOS;200;UNIDADES;6;;
CANELA;500;GR;100;;
CASANCREM;2000;gr;480;;
CASTA�;500;GR;100;;
CEBOLLA;300;GR;1000;;
CEBOLLA MORADA;;GR;1000;;
CEREZA EN ALMIBAR ;550;GR;150;;
CHAMPIGNON;900;UNIDADES;15;;
CHERRY;1600;GR;1000;;
CHOCLO;250;LATA;1;;
CHOCOLATE BARILOCHE;1396,816667;GR;400;;
CHOCOLINAS;400;GR;150;;
CIRUELAS;180;GR;100;;
CLAVITO DE OLOR;850;GR;100;;
CMC;490;GR;50;;
COCO;460;GR;100;;
COLORANTE PASTA;610;GR;15;;
COLORANTE POLVO DORADO ;2050;GR;15;;
CREMA LIQUIDA;950;GR;350;;
CREMA POLVO;680;GR;250;;
CREMA RICH CHOCOLATE;1775;GR;450;;
CREMA RICH VAINILLA;2850;gr;900;;
CREMON;2900;GR;1000;;
CRUMBLE;518,1;GR;330;;
CUCHARAS SHOTS;20;UNIDAD;1;;
CUCURUCHITOS;20;UNIDAD;1;;
DISCO FIBROFACIL 10 CM;50;UNIDAD;1;;
DISCO FIBROFACIL 12 CM;160;UNIDAD;1;;
DISCO FIBROFACIL 18 CM;250;UNIDAD;1;;
DISCO FIBROFACIL 20 CM;320;UNIDAD;1;;
DISCO FIBROFACIL 22 CM;380;UNIDAD;1;;
DISCO FIBROFACIL 24 CM;450;UNIDAD;1;;
DISCO FIBROFACIL 26 CM;520;UNIDAD;1;;
DISCO FIBROFACIL 28 CM;560;UNIDAD;1;;
DISCO FIBROFACIL 20X20;270;UNIDAD;1;;
DISCO FiBRIFACIL 30X30;620;UNIDAD;1;;
DULCE DE LECHE LIGHT;2700;GR;400;;
DULCE DE LECHE;1700;GR;1000;;
DURAZNOS;900;UNIDADES;6;;
EDULCORANTE;980;CC;250;;
EMPANADAS;225;UNIDADES;12;;
ESENCIA;1320;GR;1000;;
ESPECIAS DULCES;400;GR;50;;
FRITOLIN;800;UNIDAD;1;;
FRUTILLAS;2000;GR;1000;;
FRUTOS ROJOS;3600;GR;1000;;
GEL DE BRILLO ;150;UNIDAD;1;;
GELATINA;540;GR;100;;
GLUCOSA;1100;GR;1000;;
GOMA DE XANTANA;1000;GR;50;;
GOMA EVA;350;UNIDAD;1;;
GRANAS MULTICOLOR;100;GR;50;;
GRASA;360;GR;500;;
GUINDAS;100;GR;100;;
HARINA 000;220;GR;1000;;
HARINA;400;GR;1000;;
HARINA DE ALMENDRAS COMUN;900;GR;100;;
HARINA DE ALMENDRAS MACARONS;1500;GR;100;;
HARINA DE COCO;650;GR;100;;
HARINA DE LINO;300;GR;100;;
HUEVOS;85;UNIDAD;1;;
JAMON;770;GR;100;;
KIWI;2000;GR;1000;;
LECHE;350;ML;1000;;
LECHE CONDENSADA;900;GR;395;;
LEDEVITE;1900;GR;1000;;
LEVADURA;100;GR;50;;
LICOR DE CAFE;400;CC;200;;
LIMON;500;GR;1000;;
LOMO;710;GR;100;;
MACARONS POLVO;700;GR;250;;
MAIZENA;1100;GR;1000;;
MALTA;1230;GR;1000;;
MALVAVISCOS;80;UNIDAD;1;;
MANGA NRO 0;10;UNIDAD;1;;
MANGA NRO 1;12;UNIDAD;1;;
MANGA NRO 2;16;UNIDAD;1;;
MANTECA;770;GR;200;;
MANZANA VERDE;1000;GR;1000;;
MARACUYA RELLENO;1750;GR;500;;
MARGARINA;170;GR;200;;
MASCARPONE;680;GR;200;;
MAYONESA;100;GR;100;;
MEDIALUNAS;300;UNIDAD;1;;
MEMBRILLO;1600;GR;1000;;
MERENGUE;163,2;HUEVO;1;;
MERENGUE EN POLVO;400;GR;250;;
MERMELADA;1500;GR;454;;
MIEL;1122;GR;500;;
MIX FRUTOS SECOS;1050;GR;100;;
NALGA;1600;GR;1000;;
NARANJAS;600;GR;1000;;
NUECES;1000;GR;100;;
NUTELLA;4700;GR;1000;;
OBLEAS;300;GR;100;;
OREOS;33;unidades;1;;
OPORTO;2500;CC;750;;
PAN DULCE 250 GR;30;UNIDAD;1;;
PAN DULCE 500 GR;30;UNIDAD;1;;
PAN DULCE 1 KG;35;UNIDAD;1;;
PAN DULCE 100 GR;25;UNIDAD;1;;
PASAS DE UVA NEGRAS;300;GR;100;;
PASAS DE UVA RUBIAS;400;GR;100;;
PASTA DE GOMA;860;GRAMOS;500;;
PASTA DE MANI;1000;GR;485;;
PASTELERA 1 HUEVO;166,045;RECETA;1;;
PASTRON;340;GR;100;;
PEPINILLOS;190;GR;100;;
PIROTIN NRO 10;15;UNIDAD;1;;
PIROTIN NRO 9;10;UNIDAD;1;;
PIROTIN NRO 8;10;UNIDAD;1;;
PIZZA;450;GR;1000;;
POLIFAN;90;UNIDAD;1;;
POLLO;2700;GR;1000;;
POLVO DE HORNEAR;400;GR;100;;
PUERRO;1000;GR;1000;;
QUESO MAR DEL PLATA;350;GR;100;;
QUESO RALLADO;300;GR;35;;
QUESO FETA;400;GR;100;;
RELLENO FRUTOS SECOS;2896,328571;RECETA;1;;
RELLENO TARTA MANZANA;679,25;RECETA;1;;
RELLENO TARTA COCO;1136,85;RECETA;1;;
RELLENO TARTA RICOTA;1217,92;RECETA;1;;
REMOLACHA;500;GR;1000;;
RICOTA;1800;GR;1000;;
ROCLETS;950;GR;1000;;
ROGEL 1 H;214,32;RECETA;1;;
RON;1500;CC;1000;;
SAL;250;GR;500;;
SALMON;6000;GR;1000;;
SHOTS;53;UNIDAD;1;;
SORBETES;300;UNIDADES;25;;
TOMATE LATA;350;UNIDAD;1;;
TOMATE FRUTA;800;GR;1000;;
TORTA FALSA 15X10;135;UNIDAD;1;;
TORTA FALSA 20X10;280;UNIDAD;1;;
TORTA FALSA 10X10;65;UNIDAD;1;;
VAINILLA MASA;178,92;UNIDAD;1;;
VAINILLAS;350;GR;160;;
VEGETALINA;890;GR;500;;
VELAS;11;UNIDAD;1;;
VERDEO;500;GR;1000;;
VINAGRE;300;CC;500;;
YOGURT NATURAL;500;GR;210;;
MASA SABLE;1388,97;RECETA;1;;
MASA SUCRE;970,475;RECETA;1;;
ZANAHORIA;300;GR;1000;;
