productos;id;margen
ALF MAICENA;1;70,00%
POSTRE 3 LECHES;2;60,00%
ORANGE CURD;3;60,00%
nutella;4;0,00%
POSTRE LEMON;5;80,00%
POSTRE MOUSSE CHOCO Y LEMON CUR;6;80,00%
ENSALADA DE FRUTA;7;50,00%
SHOT 3 LECHES;8;50,00%
CHOCOLATE BARILOCHE;9;0,00%
MINI TARTA TRI;10;60,00%
EMP POLLO;11;70,00%
CREMONITAS;12;100,00%
EMP CARNE;13;70,00%
EMP JYQ;14;70,00%
PIZZETAS;15;70,00%
BROCHETTE POLLO;16;70,00%
PINCHO CAPRESE;17;40,00%
DEVILS CAKE;18;60,00%
OPERA;19;60,00%
BALCARCE;20;60,00%
MUFFINS DE COCO;21;60,00%
MUFFINS LINO Y COCO;22;60,00%
BAKLAVA;23;70,00%
MOUSSE DE SALMON;24;40,00%
PLETZALEJ;25;60,00%
MOUSSE DE ALBAHACA;26;40,00%
CRACKERS;27;40,00%
BOMBAS;28;60,00%
TORTA FRESCA DE CREMA;29;60,00%
PARIS BREST;30;60,00%
ECLEARS;31;70,00%
STRUDEL;32;100,00%
BOCADO BROWNIE;33;60,00%
MINI BROWNIE 9 CM DULCE Y MEREN;34;60,00%
CUADRADO BROWNIE 7X7;35;60,00%
SHOT MOUSSE DE CHOCOLATE;36;50,00%
SHOT MOUSSE DE DULCE DE LECHE;37;50,00%
MEDIALUNAS JAMON Y QUESO;38;40,00%
SHOT CHEESCAKE;39;50,00%
SHOT BORRACHITO;40;50,00%
SHOT OREO;41;50,00%
SHOT TIRAMISU;42;50,00%
POSTRE TIRAMISU;43;60,00%
MERENGUE;44;0,00%
OREOS BAÑADA;45;60,00%
POPCAKES;46;60,00%
SHOT MOUSSE LIMON;47;50,00%
SHOT CHOCOTORTA;48;50,00%
CHOCOTORTA BAÑAD;49;60,00%
MINI CHOCOTORTA;50;45,00%
COOKIES HARINA DE ALMENDRAS;51;40,00%
SAVARIN;52;80,00%
ALF NUEZ;53;60,00%
ALF CHOCOLATE;54;60,00%
ALF SABLE;55;60,00%
CRUMBLE;56;0,00%
RELLENO TARTA MANZANA;57;0,00%
LUNETTES;58;60,00%
CUCURUCHITOS;59;60,00%
DONUTS;60;60,00%
MACARONS;61;80,00%
COOKIES;62;100,00%
NUMBER CAKE;63;60,00%
TORTA GALESA;64;60,00%
CONITOS;65;60,00%
COOKIES NUTELLA;66;85,00%
BOCADOS VAINILLA;67;60,00%
BOCADOS CHOCOLATE;68;60,00%
MAGIC NUTELLA;69;60,00%
MUFFINS CHOCO;70;110,00%
RED VELVET;71;70,00%
SCONS DE QUESO;72;70,00%
MUFFINS VAINILLA;73;60,00%
BROWNIE;74;0,00%
TORTA BROWNIE;75;75,00%
CHEESCAKE;76;60,00%
ROGEL 1 H;77;0,00%
ROGELITOS;78;60,00%
COOKIES AVENA Y PASAS;79;60,00%
MINI ROGEL 10 CM;80;60,00%
LINZER;81;60,00%
MINI ROGEL 7 CM;82;60,00%
VAINILLA MASA;83;0,00%
MINI TARTA FRUTOS SECOS;84;60,00%
FIGACITAS J Y Q;85;60,00%
FIGACITAS LOMO;86;60,00%
FIGACITAS CAPRESE;87;60,00%
RELLENO FRUTOS SECOS ACARAMELAD;88;0,00%
TRUFAS CHOCO BLANCO;89;40,00%
MINI TARTA MANZANA;90;60,00%
TARTELETA PASTELERA;91;60,00%
TARTELETA LEMON PIE;92;60,00%
SHOT LEMON PIE;93;50,00%
SHOT M FRUTILLA;94;50,00%
SHOT MARACUYA;95;50,00%
SHOT BAILYS;96;50,00%
MINI PASTAFROLA;97;60,00%
MINI TARTA RICOTA;98;60,00%
TARTA RICOTA GRANDE;99;60,00%
MINI TARTA DE COCO Y DULCE;100;60,00%
RELLENO TARTA RICOTA;101;0,00%
RELLENO TARTA COCO;102;0,00%
PASTELERA 1 HUEVO;103;0,00%
MINI TARTA LEMON PIE;104;60,00%
TARTA LEMON GRANDE;105;60,00%
MINI TARTA FRUTILLAS;106;60,00%
TARTA FRUTILLAS GRANDE;107;70,00%
TARTA MANZANA GRANDE;108;60,00%
MINI TARTA COPITOS;109;60,00%
BUDINCITOS DE LIMON;110;80,00%
BUDINCITOS VAINILLA;111;70,00%
bocaditos banana y avena;112;150,00%
muffins avena, maz y canela;113;100,00%
COOKIES DE LIMON;114;60,00%
BUDINCITOS DE MANZANA;115;70,00%
PIONONO DULCE DE LECHE;116;60,00%
BUDINCITOS MAGIC;117;70,00%
MASA TARTA SABLE;118;0,00%
PAN DULCE CHISPAS;119;90,00%
MASA SUCRE;120;0,00%
TORTA INDIVIDUAL;121;70,00%
TORTA BOMBA;122;60,00%
TORTA CHAJA;123;70,00%
SACHER;124;60,00%
CAKE 5 PORCIONES;125;70,00%
CAKE CORAZON 20 CM;126;70,00%
CAKE 10 PORCIONES;127;90,00%
CAKE 20 PORCIONES;128;70,00%
CAKE 15 PORCIONES;129;70,00%
HUEVO CHOCOTORTA;130;60,00%
HUEVO CHEESCAKE;131;60,00%
HUEVO FULL CHOCO4;132;60,00%
HUEVO OREO;133;60,00%
