id,nombre,margen,packaging,agregado,cantidadReceta
1,"ALF MAICENA",70,20,10,26
2,"POSTRE 3 LECHES",60,130,10,11
3,"ORANGE CURD",60,25,10,16
4,nutella,0,0,10,1
5,"POSTRE LEMON",80,270,10,8
6,"POSTRE MOUSSE CHOCO Y LEMON CUR",80,280,10,8
7,"ENSALADA DE FRUTA",50,90,10,4
8,"SHOT 3 LECHES",50,NULL,NULL,NULL
9,"CHOCOLATE BARILOCHE",0,NULL,NULL,NULL
10,"MINI TARTA TRI",60,NULL,NULL,NULL
11,"EMP POLLO",70,NULL,NULL,NULL
12,CREMONITAS,100,NULL,NULL,NULL
13,"EMP CARNE",70,NULL,NULL,NULL
14,"EMP JYQ",70,NULL,NULL,NULL
15,PIZZETAS,70,NULL,NULL,NULL
16,"BROCHETTE POLLO",70,NULL,NULL,NULL
17,"PINCHO CAPRESE",40,NULL,NULL,NULL
18,"DEVILS CAKE",60,NULL,NULL,NULL
19,OPERA,60,NULL,NULL,NULL
20,BALCARCE,60,NULL,NULL,NULL
21,"MUFFINS DE COCO",60,NULL,NULL,NULL
22,"MUFFINS LINO Y COCO",60,NULL,NULL,NULL
23,BAKLAVA,70,NULL,NULL,NULL
24,"MOUSSE DE SALMON",40,NULL,NULL,NULL
25,PLETZALEJ,60,NULL,NULL,NULL
26,"MOUSSE DE ALBAHACA",40,NULL,NULL,NULL
27,CRACKERS,40,NULL,NULL,NULL
28,BOMBAS,60,NULL,NULL,NULL
29,"TORTA FRESCA DE CREMA",60,NULL,NULL,NULL
30,"PARIS BREST",60,NULL,NULL,NULL
31,ECLEARS,70,NULL,NULL,NULL
32,STRUDEL,100,NULL,NULL,NULL
33,"BOCADO BROWNIE",60,NULL,NULL,NULL
34,"MINI BROWNIE 9 CM DULCE Y MEREN",60,NULL,NULL,NULL
35,"CUADRADO BROWNIE 7X7",60,NULL,NULL,NULL
36,"SHOT MOUSSE DE CHOCOLATE",50,NULL,NULL,NULL
37,"SHOT MOUSSE DE DULCE DE LECHE",50,NULL,NULL,NULL
38,"MEDIALUNAS JAMON Y QUESO",40,NULL,NULL,NULL
39,"SHOT CHEESCAKE",50,NULL,NULL,NULL
40,"SHOT BORRACHITO",50,NULL,NULL,NULL
41,"SHOT OREO",50,NULL,NULL,NULL
42,"SHOT TIRAMISU",50,NULL,NULL,NULL
43,"POSTRE TIRAMISU",60,NULL,NULL,NULL
44,MERENGUE,0,NULL,NULL,NULL
45,"OREOS BAÑADA",60,NULL,NULL,NULL
46,POPCAKES,60,NULL,NULL,NULL
47,"SHOT MOUSSE LIMON",50,NULL,NULL,NULL
48,"SHOT CHOCOTORTA",50,NULL,NULL,NULL
49,"CHOCOTORTA BAÑAD",60,NULL,NULL,NULL
50,"MINI CHOCOTORTA",45,NULL,NULL,NULL
51,"COOKIES HARINA DE ALMENDRAS",40,NULL,NULL,NULL
52,SAVARIN,80,NULL,NULL,NULL
53,"ALF NUEZ",60,NULL,NULL,NULL
54,"ALF CHOCOLATE",60,NULL,NULL,NULL
55,"ALF SABLE",60,NULL,NULL,NULL
56,CRUMBLE,0,NULL,NULL,NULL
57,"RELLENO TARTA MANZANA",0,NULL,NULL,NULL
58,LUNETTES,60,NULL,NULL,NULL
59,CUCURUCHITOS,60,NULL,NULL,NULL
60,DONUTS,60,NULL,NULL,NULL
61,MACARONS,80,NULL,NULL,NULL
62,COOKIES,100,NULL,NULL,NULL
63,"NUMBER CAKE",60,NULL,NULL,NULL
64,"TORTA GALESA",60,NULL,NULL,NULL
65,CONITOS,60,NULL,NULL,NULL
66,"COOKIES NUTELLA",85,NULL,NULL,NULL
67,"BOCADOS VAINILLA",60,NULL,NULL,NULL
68,"BOCADOS CHOCOLATE",60,NULL,NULL,NULL
69,"MAGIC NUTELLA",60,NULL,NULL,NULL
70,"MUFFINS CHOCO",110,NULL,NULL,NULL
71,"RED VELVET",70,NULL,NULL,NULL
72,"SCONS DE QUESO",70,NULL,NULL,NULL
73,"MUFFINS VAINILLA",60,NULL,NULL,NULL
74,BROWNIE,0,NULL,NULL,NULL
75,"TORTA BROWNIE",75,NULL,NULL,NULL
76,CHEESCAKE,60,NULL,NULL,NULL
77,"ROGEL 1 H",0,NULL,NULL,NULL
78,ROGELITOS,60,NULL,NULL,NULL
79,"COOKIES AVENA Y PASAS",60,NULL,NULL,NULL
80,"MINI ROGEL 10 CM",60,NULL,NULL,NULL
81,LINZER,60,NULL,NULL,NULL
82,"MINI ROGEL 7 CM",60,NULL,NULL,NULL
83,"VAINILLA MASA",0,NULL,NULL,NULL
84,"MINI TARTA FRUTOS SECOS",60,NULL,NULL,NULL
85,"FIGACITAS J Y Q",60,NULL,NULL,NULL
86,"FIGACITAS LOMO",60,NULL,NULL,NULL
87,"FIGACITAS CAPRESE",60,NULL,NULL,NULL
88,"RELLENO FRUTOS SECOS ACARAMELAD",0,NULL,NULL,NULL
89,"TRUFAS CHOCO BLANCO",40,NULL,NULL,NULL
90,"MINI TARTA MANZANA",60,NULL,NULL,NULL
91,"TARTELETA PASTELERA",60,NULL,NULL,NULL
92,"TARTELETA LEMON PIE",60,NULL,NULL,NULL
93,"SHOT LEMON PIE",50,NULL,NULL,NULL
94,"SHOT M FRUTILLA",50,NULL,NULL,NULL
95,"SHOT MARACUYA",50,NULL,NULL,NULL
96,"SHOT BAILYS",50,NULL,NULL,NULL
97,"MINI PASTAFROLA",60,NULL,NULL,NULL
98,"MINI TARTA RICOTA",60,NULL,NULL,NULL
